gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0,NA,NA,NA,NA,NA
ENSG00000237613,0,NA,NA,NA,NA,NA
ENSG00000186092,0,NA,NA,NA,NA,NA
ENSG00000238009,0.0275010951304427,0.0569469176937028,3.47179374686726,0.0164027364082582,0.986913096705598,NA
ENSG00000239945,0.00396856255614293,0,5.34802667134619,0,1,NA
ENSG00000239906,0,NA,NA,NA,NA,NA
ENSG00000241599,0,NA,NA,NA,NA,NA
ENSG00000236601,0.00222022423396782,0,5.34802667134619,0,1,NA
ENSG00000284733,0,NA,NA,NA,NA,NA
ENSG00000235146,0,NA,NA,NA,NA,NA
ENSG00000284662,0,NA,NA,NA,NA,NA
ENSG00000229905,0,NA,NA,NA,NA,NA
ENSG00000237491,0.251125050015704,0.216977287031838,0.613553022745398,0.353640645532075,0.723608209496412,0.809517218586553
ENSG00000177757,0.013419353733322,0,5.34802667134619,0,1,NA
ENSG00000225880,0.304962333028002,-0.134603791470166,0.567163176205561,-0.237328157252192,0.812402219667845,0.879209758204028
ENSG00000230368,0.031025193604539,-0.192795611744714,3.18124032436765,-0.0606039129668824,0.951674657157753,NA
ENSG00000272438,0,NA,NA,NA,NA,NA
ENSG00000230699,0.00968552155964409,0.0569464292253719,5.34802667134619,0.0106481199000897,0.991504190076412,NA
ENSG00000241180,0,NA,NA,NA,NA,NA
ENSG00000223764,0,NA,NA,NA,NA,NA
ENSG00000187634,0,NA,NA,NA,NA,NA
ENSG00000188976,6.83982409870208,0.0318069661230845,0.126808645518983,0.250826479479453,0.801948268204751,0.871752774603334
ENSG00000187961,0.471892773666849,0.66901141762035,0.496649536329269,1.34704931482471,0.177964350534395,0.262537925655329
ENSG00000187583,0.683593003174838,-0.0327665251516195,0.529034855092904,-0.0619364203250189,0.950613463935823,0.973475628011436
ENSG00000187642,0.0101119186042407,-0.192793889209159,5.34802667134619,-0.0360495377186721,0.971242859213984,NA
ENSG00000272512,0.321581541255977,-2.83140158758215,0.63371496066797,-4.46794184028367,7.89757695706265e-06,2.736189117365e-05
ENSG00000188290,20.481988514048,-2.70674059368381,0.175482316287671,-15.4245775354743,1.11884898127998e-53,2.46621199477897e-52
ENSG00000187608,917.953762877806,-0.353249780876725,0.0377555281624801,-9.35623994866452,8.26248079667143e-21,8.01576286308498e-20
ENSG00000224969,0.0222074078435848,0,3.55637069439098,0,1,NA
ENSG00000188157,11.8728891519648,-0.165744862662421,0.160833576294744,-1.03053644942071,0.302758251022415,0.40954265854447
ENSG00000273443,0.0222450996309221,-0.277658924285965,3.86117271592131,-0.0719105164969844,0.942673120764849,NA
ENSG00000237330,0.0192385881561122,-0.447383435901345,5.33802652001415,-0.0838106431700829,0.933206985769011,NA
ENSG00000131591,0.73348607558242,-0.244558680710943,0.389405453196903,-0.628030960283656,0.52998365842693,0.642510555100027
ENSG00000223823,0,NA,NA,NA,NA,NA
ENSG00000272141,0,NA,NA,NA,NA,NA
ENSG00000205231,0,NA,NA,NA,NA,NA
ENSG00000162571,0,NA,NA,NA,NA,NA
ENSG00000186891,0.807551877291028,-2.31802381556235,0.417333921679743,-5.55436233468022,2.78626997443647e-08,1.2723830234652e-07
ENSG00000186827,5.67544741362775,-2.00026445697489,0.140378318216948,-14.2490983107774,4.54106681977319e-46,8.66274459380585e-45
ENSG00000078808,35.7384571388488,-0.101858325195138,0.0665661007465724,-1.53018314206098,0.125971402934153,0.196133685636652
ENSG00000176022,6.5753126723164,-0.6895388310597,0.132186252984689,-5.21641861759684,1.82415665957772e-07,7.6704342719554e-07
ENSG00000184163,0.0400550999195777,-0.617115170526043,3.3420967393688,-0.184649104634414,0.853504268201261,NA
ENSG00000260179,0.0182220465449679,-0.192794782554994,4.33970797853325,-0.0444257501907204,0.964565036223935,NA
ENSG00000160087,9.24293823458333,-0.14611209413822,0.113287779830452,-1.28974276269597,0.197139986866939,0.286423486217763
ENSG00000230415,0,NA,NA,NA,NA,NA
ENSG00000162572,0.0465752652098099,-0.112781248768621,2.26615967417647,-0.0497675649486641,0.960307614061163,NA
ENSG00000131584,1.60579150640638,-2.00512133102722,0.339987755083882,-5.89762807937748,3.68764007330745e-09,1.85437313803239e-08
ENSG00000169972,2.04671870122839,-0.361692784533844,0.236007820374561,-1.53254576038969,0.125387814403738,0.195395749750317
ENSG00000127054,8.70560088450454,-0.0179139961525737,0.119435023231847,-0.149989472667487,0.880772920896245,0.926898844662087
ENSG00000224051,2.58743202639688,0.290000492431971,0.243034354350993,1.19324896764656,0.232771882193429,0.328550967558006
ENSG00000169962,0.00410566631848009,0,5.34802667134619,0,1,NA
ENSG00000107404,0.804422638818593,-1.26591312938216,0.418009262681302,-3.02843320088655,0.00245825417395247,0.00573470064963182
ENSG00000162576,0.00907618190279171,-0.0254921255210863,5.34802667134619,-0.00476664143387106,0.996196784795097,NA
ENSG00000175756,46.1313460578332,0.019169041574546,0.0527162001885418,0.36362714888378,0.716136450794002,0.803319399398127
ENSG00000221978,6.91008601860904,-0.626166265986781,0.132700797890017,-4.71863226101887,2.37435579106008e-06,8.76923115727221e-06
ENSG00000242485,30.3242715327399,0.282734537372009,0.0670405653965337,4.21736504905174,2.47173654209081e-05,8.04523482888729e-05
ENSG00000272455,0.0229953287586609,-0.192795160909423,3.84875159234712,-0.050092908384313,0.960048350934733,NA
ENSG00000235098,0.0124450853620951,0,5.34802667134619,0,1,NA
ENSG00000225905,0,NA,NA,NA,NA,NA
ENSG00000205116,0,NA,NA,NA,NA,NA
ENSG00000225285,0.0106569316760299,-0.0254921255214422,5.34802667134619,-0.00476664143393761,0.996196784795043,NA
ENSG00000179403,0.352881595295543,1.11376434518288,0.513281643157523,2.16988929962779,0.0300152331409687,0.0550772243957532
ENSG00000215915,0.00353262571941349,0,5.34802667134619,0,1,NA
ENSG00000160072,4.07194765790046,-0.965240466386187,0.155389799813615,-6.21173634011987,5.24023005346959e-10,2.83218634499059e-09
ENSG00000197785,2.94335533043655,-0.705066861143273,0.180440023776804,-3.90748596894118,9.32614555131625e-05,0.000279627473920263
ENSG00000205090,0.00364245166955328,0,5.34802667134619,0,1,NA
ENSG00000160075,24.0553247138258,0.574661230072982,0.0776837123026436,7.39744810127239,1.38826463550469e-13,9.53743920294963e-13
ENSG00000215014,0.244173968033048,0.872651229545043,0.734121490328291,1.1887013812316,0.234557196905202,0.330659388541164
ENSG00000228594,1.44313841875623,0.342319976398236,0.318836512703571,1.07365362108479,0.282977955340357,0.387454330287619
ENSG00000272106,0.519361509668918,0.362932893984724,0.479414899675578,0.757032987982479,0.4490300993883,0.564727774190366
ENSG00000197530,1.04791748452743,-0.809644606110825,0.387809516408116,-2.08773785029758,0.0368214885375978,0.066079529774895
ENSG00000189409,0.0671758551838991,-0.197645587748723,1.91347517974247,-0.103291430085507,0.917731677040187,NA
ENSG00000248333,5.01865170494881,0.265923436949618,0.182311098470548,1.4586245115109,0.144668483384768,0.220403467909191
ENSG00000272004,0.117965372500955,-0.200070518482647,1.14944722373789,-0.174058029242992,0.861819857444395,NA
ENSG00000189339,2.00273554347739,0.426042416812946,0.280790782911653,1.51729487839704,0.129192250723683,0.200149325720685
ENSG00000008128,4.17286450042242,0.276027189533907,0.193006274175033,1.4301461997219,0.152675062808825,0.230769818706434
ENSG00000215790,0.841061323910684,0.390262672677486,0.436645232295,0.893775183634257,0.371442189524884,0.485085467784892
ENSG00000008130,20.661447245768,0.616574529914378,0.110325583463247,5.58868134261694,2.28800364394719e-08,1.05488298085311e-07
ENSG00000078369,60.9926378190967,-0.416484719766247,0.048018350501916,-8.67344911711676,4.19224519065793e-18,3.63969735550789e-17
ENSG00000231050,0.0368332997757057,-0.0279170042327747,3.13482249393867,-0.00890544976206899,0.992894573046355,NA
ENSG00000169885,0,NA,NA,NA,NA,NA
ENSG00000178821,0.0402611217003318,-0.0279170399319798,2.72114883756717,-0.0102592844413975,0.99181441893229,NA
ENSG00000142609,0.00346526561824982,0,5.34802667134619,0,1,NA
ENSG00000233542,0,NA,NA,NA,NA,NA
ENSG00000187730,0,NA,NA,NA,NA,NA
ENSG00000226969,0,NA,NA,NA,NA,NA
ENSG00000067606,0.105509601431026,0.0520978575299553,1.2315680632478,0.0423020530368145,0.966257908666206,NA
ENSG00000271806,0.00373175106329924,0,5.34802667134619,0,1,NA
ENSG00000182873,0.00429345961167832,0,5.34802667134619,0,1,NA
ENSG00000162585,19.2535049218594,0.0351748179391864,0.0771785364012346,0.455759069546487,0.648563240040072,0.748102346776992
ENSG00000234396,0,NA,NA,NA,NA,NA
ENSG00000157933,2.57739737850806,0.166665789040535,0.217078456886328,0.76776752254052,0.442625312672209,0.559096223640627
ENSG00000116151,0.223602364087678,0.200004398694528,0.721762230470488,0.277105659247579,0.781698976471761,0.856775715071536
ENSG00000157916,33.8391671353487,0.608763921650915,0.0675706999110375,9.0092883816862,2.07397852277926e-19,1.90537231592003e-18
ENSG00000157911,2.42854338448733,-0.108911837347617,0.253146313125836,-0.430232761452378,0.667026332653668,0.763469773044694
ENSG00000149527,0.00412991024389612,-0.0254921255205739,5.34802667134619,-0.00476664143377525,0.996196784795173,NA
ENSG00000224387,0,NA,NA,NA,NA,NA
ENSG00000229393,0.00197909907540814,0,5.34802667134619,0,1,NA
ENSG00000157881,2.05214803924837,-0.0387169776161796,0.269524707962505,-0.143649084749461,0.885777578554741,0.930607248004122
