gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0,NA,NA,NA,NA,NA
ENSG00000237613,0,NA,NA,NA,NA,NA
ENSG00000186092,0,NA,NA,NA,NA,NA
ENSG00000238009,0.0275010951304427,0.264085199175164,3.79855839043144,0.0695224798545664,0.944573739606326,NA
ENSG00000239945,0.00396856255614293,0,5.85137116113777,0,1,NA
ENSG00000239906,0,NA,NA,NA,NA,NA
ENSG00000241599,0,NA,NA,NA,NA,NA
ENSG00000236601,0.00222022423396782,0,5.85137116113777,0,1,NA
ENSG00000284733,0,NA,NA,NA,NA,NA
ENSG00000235146,0,NA,NA,NA,NA,NA
ENSG00000284662,0,NA,NA,NA,NA,NA
ENSG00000229905,0,NA,NA,NA,NA,NA
ENSG00000237491,0.251125050015704,-0.604657958255832,0.671238096612491,-0.900809952991843,0.367689374716416,0.494846131149255
ENSG00000177757,0.013419353733322,0.264081553082765,5.85137116113777,0.0451315675950756,0.964002439747813,NA
ENSG00000225880,0.304962333028002,0.851349425214755,0.620545297048411,1.37193759950184,0.170082864208206,0.264549783550876
ENSG00000230368,0.031025193604539,0.11812000863387,3.48065888476083,0.033936105934146,0.972928101388321,NA
ENSG00000272438,0,NA,NA,NA,NA,NA
ENSG00000230699,0.00968552155964409,0,5.85137116113777,0,1,NA
ENSG00000241180,0,NA,NA,NA,NA,NA
ENSG00000223764,0,NA,NA,NA,NA,NA
ENSG00000187634,0,NA,NA,NA,NA,NA
ENSG00000188976,6.83982409870208,0.274652117342635,0.139059682856126,1.97506647291003,0.0482606049715751,0.0910986555834121
ENSG00000187961,0.471892773666849,-0.368962997772251,0.542586577315742,-0.680007602837445,0.496499646910758,0.621882798490948
ENSG00000187583,0.683593003174838,0.518680835699977,0.578828292486873,0.896087565919629,0.370205997377869,0.497777388353282
ENSG00000187642,0.0101119186042407,0.464358062039936,5.85137116113777,0.0793588458588985,0.936747201607468,NA
ENSG00000272512,0.321581541255977,3.18541248331416,0.703903018885224,4.52535704188187,6.02936271045199e-06,2.68939324903822e-05
ENSG00000188290,20.481988514048,5.31134751679658,0.411043798727531,12.9216096514262,3.39954321602238e-38,9.02397897087132e-37
ENSG00000187608,917.953762877806,2.18909569362577,0.0509801004218881,42.9401997153754,0,0
ENSG00000224969,0.0222074078435848,0,3.89109544611656,0,1,NA
ENSG00000188157,11.8728891519648,2.7010851138826,0.311424767688828,8.67331501578415,4.1971873511901e-18,5.3000110722113e-17
ENSG00000273443,0.0222450996309221,0.549226701822803,4.22458428705757,0.130007277522054,0.896560668930352,NA
ENSG00000237330,0.0192385881561122,0.718947987666577,5.8404298877259,0.123098470743994,0.902029122240702,NA
ENSG00000131591,0.73348607558242,-0.114426345218714,0.383654732932693,-0.298253443516852,0.76550973475128,0.849612974891644
ENSG00000223823,0,NA,NA,NA,NA,NA
ENSG00000272141,0,NA,NA,NA,NA,NA
ENSG00000205231,0,NA,NA,NA,NA,NA
ENSG00000162571,0,NA,NA,NA,NA,NA
ENSG00000186891,0.807551877291028,3.5592426304734,0.478173209789946,7.44341706645782,9.81137068514652e-14,9.63073648055767e-13
ENSG00000186827,5.67544741362775,5.45973016773572,0.395782775583215,13.7947644631336,2.74046480618193e-43,8.23856359564476e-42
ENSG00000078808,35.7384571388488,0.56483536591948,0.0754079971025189,7.49039077581617,6.86688514695714e-14,6.86468422223056e-13
ENSG00000176022,6.5753126723164,1.21398910991643,0.154598163252104,7.85254549199772,4.0767693619656e-15,4.36956826115832e-14
ENSG00000184163,0.0400550999195777,0.88868383585618,3.65665468554051,0.243031927343398,0.807980664335401,NA
ENSG00000260179,0.0182220465449679,0.464361628287124,4.74815694616032,0.0977982896421817,0.922092465542191,NA
ENSG00000160087,9.24293823458333,0.179280356618368,0.118922030894519,1.50754536623568,0.131670924580517,0.213952390605174
ENSG00000230415,0,NA,NA,NA,NA,NA
ENSG00000162572,0.0465752652098099,0.0875695853189862,2.47945216907991,0.0353181184178609,0.971826075935052,NA
ENSG00000131584,1.60579150640638,-0.110748085686118,0.230359241546317,-0.480762503569236,0.630685302650105,0.739905444640589
ENSG00000169972,2.04671870122839,-0.173508120427973,0.226569612439115,-0.765804904550469,0.443792395497681,0.570917088701698
ENSG00000127054,8.70560088450454,0.313608253211787,0.130920028343442,2.39541846408023,0.0166014061338637,0.0360081959189992
ENSG00000224051,2.58743202639688,-0.21089704838024,0.255047023566476,-0.826894764075814,0.408296711376024,0.535355730018632
ENSG00000169962,0.00410566631848009,0,5.85137116113777,0,1,NA
ENSG00000107404,0.804422638818593,0.414544015870598,0.372072357484287,1.11414892165996,0.265215303984266,0.380394023565403
ENSG00000162576,0.00907618190279171,0.264081880661284,5.85137116113777,0.045131623578282,0.964002395125145,NA
ENSG00000175756,46.1313460578332,-0.132255127589505,0.0541689928522639,-2.4415282733834,0.0146252430704477,0.0322603487529889
ENSG00000221978,6.91008601860904,0.110121912034901,0.126811962371197,0.868387413740648,0.385182282725759,0.512765724389404
ENSG00000242485,30.3242715327399,-0.450148684544806,0.0679177581653372,-6.62784957431862,3.40612301078343e-11,2.77200200146994e-10
ENSG00000272455,0.0229953287586609,0.233534113452625,4.21099413909925,0.0554581900944129,0.955773438130341,NA
ENSG00000235098,0.0124450853620951,0,5.85137116113777,0,1,NA
ENSG00000225905,0,NA,NA,NA,NA,NA
ENSG00000205116,0,NA,NA,NA,NA,NA
ENSG00000225285,0.0106569316760299,0.264081880656796,5.85137116113777,0.0451316235775148,0.964002395125756,NA
